Meses;IT ALF1P-1;IT ALF1P0;IT ALF2A1;IT ALF2A7A8;IT AVR;IT BVTP0;IT BVTP1;IT CMB;IT FAR;IT FMC;IT FNC;IT MAT;IT PDG;IT PTM;IT RAN;IT SNT;Total;CONSUMO POR DIA;ACUMULADO
Jan;146819,94;70314,84;24295,0;213575,41;66541,29;162293,51;76598,33;47378,6;28303,63;55248,63;11360,21;96390,42;12564,7;8123,86;81990,14;73204,23;1175002,74;37903,31419354839;1175002,74
Fev;135886,86;62687,03;21561,0;190321,18;59776,42;148568,38;67987,66;42836,59;25532,53;49883,82;10248,82;86243,74;11364,79;7378,53;73267,33;65703,01;1059247,69;36525,7824137931;2234250,4299999997
Mar;150723,62;68324,8;23711,0;209671,55;67122,7;162466,52;74225,59;47289,27;28435,43;55407,85;11338,43;95685,36;12726,75;10082,46;81281,72;73174,12;1171667,17;37795,71516129032;3405917,5999999996
Abr;150315,25;65838,16;22974,0;202957,27;67551,82;162791,92;71646,68;45827,04;27693,37;53840,51;10980,37;94584,85;12241,9;11735,38;80751,54;71575,06;1153305,12;38443,504;4559222,72
Mai;155982,22;68932,88;23619,0;208954,43;70498,9;169095,85;73668,36;47349,11;28497,82;55591,23;11353,29;96589,15;12649,67;12209,21;82926,15;74126,09;1192043,36;38453,01161290323;5751266,08
Jun;148026,59;67507,72;22814,0;201810,65;68720,78;157485,57;71202,86;46447,01;27656,52;53859,0;10976,05;92830,61;12240,4;11996,86;79371,93;73081,3;1146027,85;38200,92833333334;6897293,93
Jul;150597,25;69936,05;23589,57;210178,57;72116,96;160234,67;73472,84;48382,25;28750,54;55370,25;11344,53;96888,57;12609,35;12432,69;83018,45;76453,94;1185376,48;38237,950967741934;8082670,41
Ago;151547,69;66478,13;23425,86;209665,47;73754,43;161392,65;73446,71;47840,02;28691,83;55463,71;11340,66;96414,95;12614,6;12461,99;83352,19;76242,4;1184133,29;38197,84806451613;9266803,7
Set;147349,96;63841,2;22343,0;201860,49;71794,55;156616,01;70459,15;46475,29;27731,08;53198,7;10976,41;93045,02;12243,44;12053,62;80149,92;73794,58;1143932,42;38131,08066666666;10410736,12
Out;153346,35;65247,92;22589,0;206832,75;74487,13;162817,3;69533,86;48250,08;28877,21;55209,0;11244,26;96804,97;12664,29;12579,35;82714,5;76188,11;1179386,08;38044,712258064515;11590122,2
Nov;149484,52;63128,85;21780,0;200322,08;72032,86;159562,55;66292,2;46872,21;27772,25;53286,78;10860,83;92941,25;12243,74;12012,23;80397,67;73971,63;1142961,65;38098,721666666665;12733083,85
Dez;155351,31;64319,67;22499,0;209260,22;74132,82;166694,28;68698,19;48505,17;28946,14;55323,62;11302,84;96574,21;12648,32;12333,95;84143,95;75667,15;1186400,84;38270,99483870968;13919484,69
