weekday;day;month;year;time
Fri;1;1;2018;00:00
Fri;1;1;2018;00:15
Fri;1;1;2018;00:30
Fri;1;1;2018;00:45
Fri;1;1;2018;01:00
Fri;1;1;2018;01:15
Fri;1;1;2018;01:30
Fri;1;1;2018;01:45
Fri;1;1;2018;02:00
Fri;1;1;2018;02:15
Fri;1;1;2018;02:30
Fri;1;1;2018;02:45
Fri;1;1;2018;03:00
Fri;1;1;2018;03:15
Fri;1;1;2018;03:30
Fri;1;1;2018;03:45
Fri;1;1;2018;04:00
Fri;1;1;2018;04:15
Fri;1;1;2018;04:30
Fri;1;1;2018;04:45
Fri;1;1;2018;05:00
Fri;1;1;2018;05:15
Fri;1;1;2018;05:30
Fri;1;1;2018;05:45
Fri;1;1;2018;06:00
Fri;1;1;2018;06:15
Fri;1;1;2018;06:30
Fri;1;1;2018;06:45
Fri;1;1;2018;07:00
Fri;1;1;2018;07:15
Fri;1;1;2018;07:30
Fri;1;1;2018;07:45
Fri;1;1;2018;08:00
Fri;1;1;2018;08:15
Fri;1;1;2018;08:30
Fri;1;1;2018;08:45
Fri;1;1;2018;09:00
Fri;1;1;2018;09:15
Fri;1;1;2018;09:30
Fri;1;1;2018;09:45
Fri;1;1;2018;10:00
Fri;1;1;2018;10:15
Fri;1;1;2018;10:30
Fri;1;1;2018;10:45
Fri;1;1;2018;11:00
Fri;1;1;2018;11:15
Fri;1;1;2018;11:30
Fri;1;1;2018;11:45
Fri;1;1;2018;12:00
Fri;1;1;2018;12:15
Fri;1;1;2018;12:30
Fri;1;1;2018;12:45
Fri;1;1;2018;13:00
Fri;1;1;2018;13:15
Fri;1;1;2018;13:30
Fri;1;1;2018;13:45
Fri;1;1;2018;14:00
Fri;1;1;2018;14:15
Fri;1;1;2018;14:30
Fri;1;1;2018;14:45
Fri;1;1;2018;15:00
Fri;1;1;2018;15:15
Fri;1;1;2018;15:30
Fri;1;1;2018;15:45
Fri;1;1;2018;16:00
Fri;1;1;2018;16:15
Fri;1;1;2018;16:30
Fri;1;1;2018;16:45
Fri;1;1;2018;17:00
Fri;1;1;2018;17:15
Fri;1;1;2018;17:30
Fri;1;1;2018;17:45
Fri;1;1;2018;18:00
Fri;1;1;2018;18:15
Fri;1;1;2018;18:30
Fri;1;1;2018;18:45
Fri;1;1;2018;19:00
Fri;1;1;2018;19:15
Fri;1;1;2018;19:30
Fri;1;1;2018;19:45
Fri;1;1;2018;20:00
Fri;1;1;2018;20:15
Fri;1;1;2018;20:30
Fri;1;1;2018;20:45
Fri;1;1;2018;21:00
Fri;1;1;2018;21:15
Fri;1;1;2018;21:30
Fri;1;1;2018;21:45
Fri;1;1;2018;22:00
Fri;1;1;2018;22:15
